fighter,KD,SIG_STR_pct,TD_pct,SUB_ATT,REV,SIG_STR_att,SIG_STR_landed,TOTAL_STR_att,TOTAL_STR_landed,TD_att,TD_landed,p4p_score
Daichi Abe,0.06115346718877347,0.039482758620689666,0.07127496159754225,0.001307932897355701,0.0,0.052244567715580614,0.04284642790174386,0.02311849693585006,0.018087038794908535,0.003537563822027716,0.004847317101652362,0.3179005325761242
Valentina Shevchenko,0.009502986103861445,0.06987169989224139,0.07746182446585671,0.008331029520575389,0.004536576704545455,0.032475702986775545,0.03893030956480235,0.019706638200631645,0.02764696800432534,0.013373408593594588,0.015070094667112533,0.31690723870432236
Matthew Riddle,0.00035095939475854917,0.061020255253232764,0.06639088901689708,0.015404049379205762,0.004158528645833334,0.03383348750891775,0.03547355498781173,0.02614098144439563,0.036651746283895524,0.016526592986415022,0.020525581866351377,0.3164766267677145
Aaron Simpson,0.0597527968460424,0.06385766678095611,0.054177183703393375,0.006398790291312327,0.0,0.025185889948839135,0.03040166928046639,0.015466473549791835,0.020827405001395533,0.02276830117366222,0.017451790633608816,0.3162879672094681
Deiveson Figueiredo,0.08993558546906386,0.06795050450626959,0.05313538175534143,0.043769613541047386,0.0,0.013751913781552931,0.01872890493155822,0.006447168559814815,0.008660455607678566,0.006313640715138253,0.007305600009554294,0.3159987688770193
Sarah Kaufman,0.0012849155808183244,0.050538793103448276,0.029493087557603687,0.0009382996872334377,0.0,0.07359307629429493,0.07841740108756798,0.03629690224818132,0.04120633752137249,0.0015590809628008753,0.0023112629181993344,0.3156391569615206
Jessica-Rose Clark,0.0002552411361969445,0.05818103448275861,0.04992442396313365,0.013542936540375323,0.027500000000000004,0.047885012573239905,0.056726045377836126,0.021593295077504442,0.0250613640652321,0.006345733041575491,0.008043440182168507,0.3150585264400212
Luan Chagas,0.11172600643529887,0.04840517241379311,0.011866359447004607,0.003664525096851009,0.021875000000000002,0.03720243852216073,0.038294580911306955,0.017041408475759478,0.017346819436462275,0.005388402625820569,0.002207041513399895,0.3150177548778575
Thiago Perpetuo,0.08095399169374856,0.07620689655172413,0.04516129032258065,0.001307932897355701,0.0,0.024955749267340982,0.038346146634164635,0.01357340707777757,0.02022996785845571,0.00813274981765135,0.005959012086179716,0.314827144206979
Jon Fitch,0.013395347568371897,0.05747365885767444,0.06325484706021182,0.01845402470984188,0.00625,0.022627810132226145,0.02726017544065254,0.0250618307174237,0.04136536186163455,0.017830324625116814,0.021781022323578998,0.31475440329673277
Frankie Edgar,0.012804574474191744,0.04815734429954748,0.03378464099178195,0.008422488500752444,0.007128902817411083,0.055228189608857364,0.05055081147901827,0.02746125000859223,0.027589993427758825,0.02493118096786985,0.01819716725756187,0.3142565438333431
Dongi Yang,0.03886626392089837,0.06097413793103449,0.06809953917050691,0.00881163145081035,0.008749999999999999,0.03136196579329968,0.037059816238514905,0.01795782335294641,0.021764314634603096,0.008796498905908095,0.011045016640392362,0.3134870080389147
Luis Pena,0.03409790027763964,0.04601524014778324,0.06771790651744568,0.016832527722490758,0.05669642857142857,0.026027809992093254,0.027415552757761648,0.012383864629350615,0.012957265682648128,0.0074945295404814,0.0057207917323524255,0.3133598175714753
Ali Bagautinov,0.06697593710206835,0.04928494458128079,0.044573732718894005,0.010152830702404648,0.0035714285714285713,0.0345175325607246,0.03341860652005036,0.01704756924804309,0.017522299086819067,0.01924234135667396,0.016381152566123665,0.3126883750145111
John Lineker,0.08112698116231362,0.04534639753144363,0.019140062463997697,0.009627613005802175,0.00311279296875,0.053465417594190094,0.04911627891965416,0.024064981237500373,0.02200422597689224,0.0016951078919926145,0.0024592491707172886,0.31115910792325385
Yoel Romero,0.08976277440100935,0.07119134149121353,0.029663328606877,9.957216733011087e-05,0.0,0.02940050196962359,0.035212199260049905,0.014573573964114274,0.0181556886901749,0.012933593092492843,0.010046695837880808,0.31103926948076643
Miguel Baeza,0.10075451619872365,0.06094827586206896,0.07127496159754225,0.001307932897355701,0.0,0.021361612203426493,0.02634539658728671,0.009634619997789824,0.0111684392468848,0.003026987600291758,0.004847317101652362,0.31067005929302244
Enrique Barzola,6.961121896280303e-05,0.049077990301724134,0.05007033410138248,0.004727112284972988,0.0,0.045272711389545806,0.043136250703168955,0.028229553840721705,0.03213891346321492,0.028280566192560176,0.029387983885093713,0.3103910273813477
Danny Henry,0.0755368824744749,0.05664870689655173,0.024087557603686638,0.026073357975547343,0.0,0.03313407504009085,0.040165010313144574,0.019402524453452863,0.025593568629814507,0.005005470459518599,0.003978805394990366,0.30962595924127234
Clint Hester,0.08288707286499476,0.050178571428571433,0.04851876234364713,0.0003311482620130793,0.011607142857142858,0.036302121450098805,0.036625056923200554,0.01645844539842292,0.016641620841570476,0.005306345733041576,0.004440357330530741,0.3092966454332343
John Hathaway,0.023194719754385796,0.04751885775862069,0.05074417562724013,0.017345907180993905,0.005512152777777778,0.03456195414563327,0.03422010750671917,0.026944079825126484,0.035731604193667534,0.015480260758570383,0.017707080438294314,0.30896089996702947
Akihiro Gono,0.06115346718877347,0.06456896551724138,0.0869431643625192,0.013136195621268127,0.0,0.020230124609231192,0.025595349709356837,0.010065874057642497,0.01288278249772254,0.005069292487235593,0.008182402055234425,0.30782761810622516
Yair Rodriguez,0.03218707086040271,0.053734375,0.043178773041474654,0.03066605061131646,0.009960937500000001,0.04150120740541991,0.0411135852240765,0.01937887286360782,0.01927997583464815,0.008891035284463894,0.006857921702574882,0.30674980532798496
Sean O'Malley,0.012885043427985444,0.07063362068965519,0.02792626728110599,0.013136195621268127,0.008749999999999999,0.048234442565564924,0.06249765610350647,0.021002477015506282,0.02551467966200078,0.007571115973741794,0.008293571553687162,0.3064450698940221
Geraldo de Freitas,0.0017518936738482118,0.0625,0.05581566820276497,0.001307932897355701,0.05,0.026952492080626812,0.033095818488655546,0.014234663302885002,0.01814826533958131,0.01885485047410649,0.023746131838617388,0.3064077162984415
Clay Collard,0.022623646162910988,0.03346982758620689,0.034036866359447006,0.009578656458807223,0.021875000000000002,0.060564329437604904,0.04408869304331521,0.02691712644638569,0.019114735913888695,0.02147155361050328,0.012629181993343844,0.3063696170124137
Elias Silverio,0.021045791866420784,0.060431034482758605,0.06866359447004608,0.004080326361245379,0.0,0.037272324520625726,0.044350271891993254,0.023818566026344235,0.032077926084732276,0.005579868708971553,0.008877211420564022,0.3061969158337019
Bobby Green,0.01386713491088172,0.058455730569773705,0.04922449596774194,0.007505305332432945,0.01661376953125,0.04519710555489691,0.05379331813707107,0.021093877045873753,0.024930734481761547,0.007927596901212617,0.007073801143662054,0.3056828695765582
Mounir Lazzez,0.0008121308878993688,0.05810344827586207,0.07649769585253456,0.0015855187748791582,0.0,0.04369185266533967,0.05335645977873617,0.021170666098848823,0.025979762235323747,0.008643326039387307,0.01554738132772815,0.305388241936539
Dustin Poirier,0.05207145550838708,0.05709463757482069,0.026924609312066285,0.01477708935296973,0.009992183446884156,0.04129593803355347,0.0476670752195755,0.01902164408610732,0.021790281342288255,0.008059339658958385,0.00666816715087463,0.3053624206864855
Montel Jackson,0.024944020128337754,0.06418103448275862,0.07589708141321044,0.0041111050640934505,0.011458333333333334,0.02545493497066244,0.03274892180761298,0.01567577061955935,0.022034476762971718,0.010749452954048139,0.018048695042914696,0.3053038265795029
Cody Stamann,0.000584448441273493,0.05488180226293104,0.05835685483870967,0.00038384987205004265,0.0,0.04494605674493482,0.05243179261203826,0.022805725436712124,0.027982928556514852,0.0195628760940919,0.02320765458048695,0.3051439894397432
Michelle Waterson,6.961121896280303e-05,0.0732085129310345,0.07500138248847926,0.027625889652047198,0.004921875,0.029129513730726753,0.037678956497281084,0.015927021031721434,0.022110866444098615,0.0088898386214442,0.010445743562795587,0.3050092111785914
